Unique ID	Title	Description	Category	Product URL	Image URL	Condition	Availability	Current Price	Item Group ID	Brand	GTIN	MPN	Gender	Age Group	Size	Color	Material	Pattern	Additional Image URL	Original Price	ASIN	Ship Cost	Ship Weight	Bid	Promo Text
54r245816	 Burberry London (new) Cologne by Burberrys for Men 3.4 oz Spray	 Burberry London (new) Cologne by Burberrys for Men 3.4 oz eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/burberry-london-new-cologne-by-burberrys-for-men-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/218/486/Burberry_London_New_Cologne__92288.1592437166.jpg?c=1	New	In Stock	44.99		Burberry															
aar4 	Amor Amor Tentation Perfume for Women by Cacharel EDP Spray 3.4 oz	Amor Amor Tentation Perfume for Women by Cacharel 3.4oz Eau de parfum spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/amor-amor-tentation-perfume-for-women-by-cacharel-edp-spray-3-4-oz/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/266/535/Amor_Amor_Tentation__95509.1592539937.jpg?c=1	New	In Stock	69.99		Cacharel															
42r4600	Euphoria Perfume by Calvin Klein for Women 3.4 oz Edp Spray	Euphoria Perfume by Calvin Klein for Women 3.4oz Eau de parfum spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/euphoria-perfume-by-calvin-klein-for-women-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/268/537/Euphoria_Perfume__23367.1592547961.jpg?c=1	New	In Stock	58.99		Calvin Klein															
clbn	Cartier le Baiser du Dragon Eau de Perfume for Women 3.3 oz EDP Spray	Cartier le Baiser du Dragon Eau de Perfume for Women 3.3 oz EDP Spray - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/cartier-le-baiser-du-dragon-eau-de-perfume-for-women-3-3-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/346/620/Cartier_le_Baiser_du_Dragon__49118.1592715237.jpg?c=1	New	In Stock	79.99		Cartier															
85r3717	212 for MEN by CAROLINA HERRERA 3.4 oz Spray	212 for MEN by CAROLINA HERRERA 3.4 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/212-for-men-by-carolina-herrera-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/316/587/212_for_MEN__57814.1592623398.jpg?c=1	New	In Stock	54.99		CAROLINA HERRERA															
25r4617	212 Perfume for Women by Carolina Herrera 3.4 oz Spray	212 Perfume for Women by Carolina Herrera 3.4 oz eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/212-perfume-for-women-by-carolina-herrera-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/322/595/212_Perfume_new_box__90242.1592712914.jpg?c=1	New	In Stock	64.99		Carolina Herrera															
212r5606bth	212 Sexy for Women by CAROLINA HERRERA 3.4 oz edp Spray	212 Sexy for Women by CAROLINA HERRERA 3.4 oz Eau de parfum spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/212-sexy-for-women-by-carolina-herrera-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/320/593/212_Sexy_for_Women__09577.1592712713.jpg?c=1	New	No	43.99		Carolina Herrera															
vpr4506bt	212 VIP Men by Carolina Herrera 3.4 oz Edt Spray	212 VIP Men by Carolina Herrera 3.4 oz eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/212-vip-men-by-carolina-herrera-3-4-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/334/608/212_VIP_Men_by_Carolina_Herrera__75853.1592713842.gif?c=1	New	In Stock	55.99		Carolina Herrera															
25r4751b	Chloe by Chloe Perfume .. 2.5 oz Eau de Parfum Spray	Chloe by Chloe Perfume .. 2.5 oz Edp Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/chloe-by-chloe-perfume-2-5-oz-eau-de-parfum-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/364/639/Chloe_2.5_oz_Eau_de_Parfum_Spray__06791.1592717078.jpg?c=1	New	In Stock	69.99		Chloe															
86r4450	Happy Perfume by Clinique for Women 3.4 oz Spray	Happy Perfume by Clinique for Women  3.4 oz Eau de parfum spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/happy-perfume-by-clinique-for-women-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/380/656/Happy_Perfume__18650.1592768278.jpg?c=1	New	No	48.99		Clinique															
FCCR12560	Green Irish Tweed Cologne for Men by Creed EDT Spray 4 oz	Green Irish Tweed Cologne for Men by Creed Millesime Spray 4 oz	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/green-irish-tweed-cologne-for-men-by-creed-spray-4-oz/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/388/664/Green_Irish_Tweed__25236.1592866073.jpg?c=1	New	In Stock	129.99		Creed															
95r11056	Creed Tabarome by Creed for Men 4 oz Spray	Creed Tabarome by Creed for Men Millesime Spray 4 oz - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/creed-tabarome-by-creed-for-men-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/395/671/Creed_Tabarome__10644.1592866632.jpg?c=1	New	No	109.99		Creed															
cr7r117	Creed MILLESIME IMPERIAL by Creed 4 oz EDT Spray	Creed MILLESIME IMPERIAL by Creed Millesime Spray 4 oz - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/creed-millesime-imperial-by-creed-4-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/391/667/Creed_MILLESIME_IMPERIAL_new_bottle_2013__98898.1592866337.jpg?c=1	New	In Stock	129.99		Creed															
c11r12000	Creed Himalaya EDT Spray 4 oz	Creed Himalaya Millesime Spray 4 oz - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/creed-himalaya-spray-4-oz/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/389/665/Creed_Himalaya__89953.1592866143.jpg?c=1	New	In Stock	119.99		Creed															
11r12500	Original Vetiver Cologne by Creed for Men 4.0 oz Spray	Original Vetiver Cologne by Creed for Men 4 oz - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/original-vetiver-cologne-by-creed-for-men-4-0-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/390/666/Original_Vetiver__14410.1592866220.jpg?c=1	New	In Stock	119.99		Creed															
r105fcc	Silver Mountain Water Cologne for Men by Creed Spray 3.3 oz	Silver Mountain Water Cologne for Men by Creed Millesime Spray 3.3 oz - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/silver-mountain-water-cologne-for-men-by-creed-spray-3-3-oz/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/387/663/Silver_Mountain_Water_3.3__93626.1592866009.jpg?c=1	New	In Stock	119.99		Creed															
58r26063	Creed Aventus for Men Spray 3.3 oz	Creed Aventus for Men Millesime Spray 3.3 oz - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/creed-aventus-for-men-spray-3-3-oz/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/383/659/creed_aventus_3.3__72826.1592768894.jpg?c=1	New	In Stock	179.99		Creed															
654	Creed Aventus COLOGNE Spray 3.3 oz	Creed Aventus Cologne Spray 3.3 oz / 100 ml - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/creed-aventus-cologne-spray-3-3-oz/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/386/662/Creed_Aventus_Cologne__11816.1592769147.jpg?c=1	New	In Stock	179.99		Creed															
85r4563bt	Fuel For Life Perfume by Diesel for Women 2.6 oz Spray	Fuel For Life Perfume by Diesel for Women 2.6 oz Eau de parfum spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/diesel-fuel-for-life-men-is-a-magic-potion-of-mysterious-star-anise-vintage-raspberry-and-authentic-heliotropine-for-him-eau-de-toilette-spray-brand-new-in-box/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/416/692/Fuel_For_Life_Perfume__75891.1592868609.jpg?c=1	New	In Stock	44.99		 Diesel															
85r4563b	Fuel For Life Cologne for Men by Diesel 2.6 oz Spray	Fuel For Life Cologne for Men by Diesel 2.6 oz Eau De Toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/fuel-for-life-cologne-for-men-by-diesel-2-6-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/414/690/Fuel_For_Life_Cologne__01543.1592868478.jpg?c=1	New	In Stock	44.99		 Diesel															
98r8298	Dior Tendre Poison Perfume for Women by Christian Dior 3.4 oz EDT Spray	Dior Tendre Poison Perfume for Women by Christian Dior 3.4 oz Eau de toiletee Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/dior-tendre-poison-perfume-for-women-by-christian-dior-3-4-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/496/775/Dior_Tendre_Poison__12041.1592891829.jpg?c=1	New	In Stock	73.99		Dior															
01r78bt	Jadore Perfume by Christian Dior for Women 3.4 oz EDP Spray	Jadore Perfume by Christian Dior for Women 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/jadore-perfume-by-christian-dior-for-women-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/488/766/JADORE__74317.1592891334.jpg?c=1	New	In Stock	59.99		Dior															
89r8273	Dior Midnight Poison Perfume for Women by Christian Dior 3.4 oz EDP Spray	Dior Midnight Poison Perfume for Women by Christian Dior 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/dior-midnight-poison-perfume-for-women-by-christian-dior-3-4-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/505/784/Dior_Midnight_Poison__10840.1592892448.jpg?c=1	New	In Stock	89.99		Dior															
85r8296	Poison Perfume by Christian Dior for Women 3.4 oz Spray	Poison Perfume by Christian Dior for Women 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/poison-perfume-by-christian-dior-for-women-3-4-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/503/782/Poison__98874.1592892340.jpg?c=1	New	In Stock	79.99		Dior															
dr88008	Dior Addict Perfume by Christian Dior for Women 3.4 oz EDP Spray	Dior Addict Perfume by Christian Dior for Women 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/dior-addict-perfume-by-christian-dior-for-women-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/497/776/DIOR_ADDICT__84851.1592891900.jpg?c=1	New	In Stock	69.99		Dior															
